axis_from,axis_to,sign,magnitude_tier,confidence_grade,J_healthy,J_pre_disease,J_disease,age_trajectory,primary_evidence_PMID,evidence_type,brief_rationale,evidence_PMIDs,study_design_tags,n_sources,convergence_note,quantitative_prior
M,P,+,M,B,0.080,0.150,0.250,increasing,26646499,mechanistic,AGE accumulation resists proteasomal degradation; hyperglycaemia->ER stress->UPR activation (Kaushik 2015),26646499;21461003,mechanistic,2,AGE accumulation resists proteasomal degradation; hyperglycaemia->ER stress->UPR (Kaushik 2015),
M,C,+,M,B,0.080,0.150,0.250,increasing,27846497,observational,HOMA-IR <-> blunted melatonin amplitude; NAD+/sirtuin signalling disruption; insulin resets peripheral clocks (Panda 2016),27846497;24360275,observational;mechanistic,2,HOMA-IR <-> blunted melatonin amplitude; NAD+/sirtuin disruption; insulin resets peripheral clocks (Panda 2016),
M,N,+,M,B,0.150,0.250,0.400,increasing,10922429,prospective,HOMA-IR -> RMSSD: b=-0.15 SD/SD (Framingham Offspring); diabetic autonomic neuropathy (Singh 2000),10922429;12766768,prospective,2,HOMA-IR -> RMSSD: b=-0.15 SD/SD (Framingham Offspring); diabetic autonomic neuropathy (Singh 2000),RMSSD b=-0.15 SD per SD HOMA-IR (Framingham)
M,F,+,M,B,0.100,0.200,0.350,increasing,19549734,prospective,1.5-2x faster grip loss in T2DM; insulin resistance impairs mTORC1/amino acid response; FoxO->atrogin-1 (Park 2009),19549734;19407167;26994028,prospective;RCT;mechanistic,3,1.5-2x faster grip loss in T2DM; IR impairs mTORC1/amino acid response; FoxO->atrogin-1 (Park 2009),1.5-2x faster grip decline in T2DM
E,I,+,W,C,,,,unknown,NA,inferred,No clock->inflammation causal evidence; hypomethylation of TNF/IL6 promoters theoretical; adolescent cohorts show null (Tollenaar 2025),,inferred,0,No clock->inflammation causal evidence; TNF/IL6 promoter hypomethylation theoretical; null in adolescent cohorts (Tollenaar 2025),
E,M,+,M,B,0.100,0.150,0.250,increasing,NA,mechanistic+observational,Mitoepigenetic changes -> OXPHOS dysregulation; mtDNA methylation/histone acetylation at nuclear-encoded mito genes (Neikirk 2025),27304977,mechanistic;observational,1,Mitoepigenetic changes -> OXPHOS dysregulation; mtDNA methylation at nuclear-encoded mito genes (Neikirk 2025),
E,mito,+,M,B,0.080,0.120,0.200,increasing,NA,mechanistic,MT gene silencing (MT-ND1/ND4/CO1); PGC-1a promoter hypermethylation reduces biogenesis capacity (Kumar 2026),22911679;23746838,mechanistic,2,MT gene silencing (MT-ND1/ND4/CO1); PGC-1a promoter hypermethylation reduces biogenesis capacity (Kumar 2026),
E,P,?,unknown,C,,,,unknown,NA,unknown,No direct studies linking epigenetic clock acceleration to proteostasis biomarkers,,unknown,0,No direct evidence; sign unknown (?),
E,C,?,unknown,C,,,,unknown,NA,unknown,Clock gene (BMAL1/PER/CRY) methylation documented at locus level; causal aggregate drift->circadian disruption undemonstrated,,unknown,0,No direct evidence; sign unknown (?). Clock gene methylation documented but causal aggregate effect undemonstrated,
E,N,?,unknown,C,,,,unknown,NA,unknown,No direct evidence for epigenetic clock acceleration causally impairing HPA axis or HRV,,unknown,0,No direct evidence; sign unknown (?),
E,F,?,unknown,C,,,,unknown,NA,unknown,Myogenic regulatory gene methylation documented with aging; causal arrow from aggregate drift to functional decline undemonstrated,,unknown,0,No direct evidence; sign unknown (?). Myogenic gene methylation documented but causal arrow undemonstrated,
mito,I,+,S,A,0.200,0.350,0.500,increasing,25517091,RCT+mechanistic,mtDNA->cGAS-STING/NLRP3; mito ROS->NF-kB; cardiolipin externalisation; mitophagy reduces leakage ~43% (West 2015; Zhong 2018),25517091;23706778;29605718,RCT;mechanistic,3,mtDNA->cGAS-STING/NLRP3; mito ROS->NF-kB; mitophagy reduces leakage ~43% (West 2015; Zhong 2018),mtDNA release increases IL-1b 3-5 fold; mitophagy reduces leakage ~43%
mito,M,+,S,A,0.150,0.300,0.450,increasing,12702871,review+mechanistic,CoQ10 -40% by 60; metabolic inflexibility; reduced oxidative capacity forces glycolysis reliance (Petersen 2004),12702871;19407167,review;mechanistic,2,CoQ10 -40% by 60; metabolic inflexibility; reduced oxidative capacity forces glycolysis (Petersen 2004),CoQ10 declines ~40% by age 60
mito,E,+,M,B,0.080,0.150,0.250,increasing,NA,mechanistic+observational,2924 DMCpGs from TFAM KO mtDNA depletion; mtDNA control region methylation increases >=45 yr (Win 2025; Chi 2025),22911679;23746838,mechanistic;observational,2,2924 DMCpGs from TFAM KO mtDNA depletion; mtDNA control region methylation increases >=45 yr (Win 2025; Chi 2025),
mito,P,+,S,A,0.250,0.400,0.550,increasing,12614612,mechanistic,Protein carbonyls 2-3x by age 70; ROS->carbonylation/disulphide crosslinking; ROS damage proteasomal subunits (Stadtman 2003),12614612;26122616,mechanistic,2,Protein carbonyls 2-3x by age 70; ROS->carbonylation; ROS damage proteasomal subunits (Stadtman 2003),Protein carbonyls 2-3x by age 70
mito,C,+,S,A,0.200,0.350,0.500,increasing,19286518,mechanistic,NAD+ -50% by 60; SIRT1 deacetylates BMAL1/PER2; NAD+ <-> BMAL1 r~0.7-0.8 (Nakahata 2009; Ramsey 2009),19286518;27846497,mechanistic,2,NAD+ -50% by 60; SIRT1 deacetylates BMAL1/PER2; NAD+ <-> BMAL1 r~0.7-0.8 (Nakahata 2009; Ramsey 2009),NAD+ declines ~50% by age 60; NAD+ <-> BMAL1 r~0.7-0.8
mito,N,+,M,B,0.100,0.180,0.300,increasing,29339091,mechanistic,Steroidogenesis in adrenal tissue; mito dysfunction reduces cortisol synthetic capacity; impairs sympathetic neurotransmission (Picard 2018),29339091;34552265,mechanistic,2,Steroidogenesis mito-dependent; mito dysfunction reduces cortisol synthetic capacity (Picard 2018),
mito,F,+,S,A,0.200,0.350,0.500,increasing,15800038,review+mechanistic,1-2%/yr grip loss; CI/CIV -30-50% in sarcopenic muscle biopsies; skeletal muscle most mito-dense tissue (Short 2005),15800038;34552265;22648170,review;mechanistic;RCT,3,1-2%/yr grip loss; CI/CIV -30-50% in sarcopenic biopsies; skeletal muscle most mito-dense tissue (Short 2005),CI/CIV activity -30-50% in sarcopenic muscle biopsies
P,I,+,S,A,0.150,0.250,0.400,increasing,24751954,mechanistic,DAMP signalling: misfolded aggregates->TLR2/4 + NLRP3 activation; central to neuroinflammation and systemic inflammaging (Heneka 2015),24751954;23706778;24738725,mechanistic,3,DAMP signalling: misfolded aggregates->TLR2/4 + NLRP3; central to neuroinflammation (Heneka 2015),Senolytic clearance reduces IL-6/TNF-a ~40% in mouse models
P,M,+,W,C,,,,unknown,NA,mechanistic,UPR->IRE1-JNK crosstalk impairs insulin signalling; mechanistically plausible but sparse human axis-level evidence,21461003;16959573,mechanistic,2,UPR->IRE1-JNK crosstalk impairs insulin signalling; mechanistically plausible but sparse human data,
P,E,?,unknown,C,,,,unknown,NA,unknown,No studies linking proteostasis biomarkers (ubiquitin load HSP70) to epigenetic clock acceleration,,unknown,0,No direct evidence; sign unknown (?),
P,mito,+,S,A,0.200,0.350,0.500,increasing,29165426,mechanistic,UPRmt chronic activation -> -40% ATP; protein aggregates obstruct TOM/TIM import channels (Shpilka 2018),29165426;34552265,mechanistic,2,UPRmt chronic activation -> -40% ATP; protein aggregates obstruct TOM/TIM import (Shpilka 2018),UPRmt activation reduces ATP ~40%
P,C,+,M,B,0.100,0.180,0.300,increasing,23076099,mechanistic,Nuclear p62 <-> BMAL1 inverse correlation; ubiquitin burden disrupts CRY/PER proteasomal degradation (Koike 2012),23076099,mechanistic,1,Nuclear p62 <-> BMAL1 inverse correlation; ubiquitin burden disrupts CRY/PER degradation (Koike 2012),
P,N,+,W,C,,,,unknown,NA,inferred,Hypothalamic/autonomic neuron aggregate stress could impair neuroendocrine signalling; no direct peripheral proteostasis->HRV evidence,,inferred,0,Hypothalamic aggregate stress could impair neuroendocrine signalling; no peripheral proteostasis->HRV evidence,
P,F,+,M,B,0.100,0.200,0.350,increasing,24293329,mechanistic,Ubiquitin 2-3x in sarcopenic muscle; damaged contractile proteins (myosin/actin) and Z-disc disorganisation (Sandri 2013),24293329;26122616,mechanistic,2,Ubiquitin 2-3x in sarcopenic muscle; damaged contractile proteins and Z-disc disorganisation (Sandri 2013),Ubiquitin load 2-3x in sarcopenic muscle
C,I,+,M,B,0.050,0.120,0.200,increasing,26858399,observational+mechanistic,Shift work: CRP/IL-6 +30-50%; BMAL1 represses IL-6 transcription; loss of circadian gating (Morris 2016),26858399;17646381,observational;mechanistic,2,Shift work: CRP/IL-6 +30-50%; BMAL1 represses IL-6 transcription; loss of circadian gating (Morris 2016),Shift workers: CRP/IL-6 +30-50%
C,M,+,S,A,0.200,0.350,0.500,increasing,19255424,RCT+mechanistic,Shift work: HOMA-IR +30% in 3 days; REV-ERBa KO: 2.5x adiposity; clock controls HMGCR/PEPCK/GK (Scheer 2009; Morris 2016),19255424;27846497;24360275,RCT;mechanistic,3,Shift work: HOMA-IR +30% in 3 days; REV-ERBa KO: 2.5x adiposity (Scheer 2009; Morris 2016),HOMA-IR +30% with circadian misalignment in 3 days
C,E,+,W,C,,,,unknown,NA,inferred,H3K4me3 changes in Drosophila with circadian disruption; no human clock->methylation clock data (McGovern 2026),,inferred,0,H3K4me3 changes in Drosophila; no human clock->methylation clock data (McGovern 2026),
C,mito,+,S,A,0.250,0.400,0.550,increasing,27846497,mechanistic,BMAL1->PGC-1a transcription; clock disruption -> -30-40% mito volume density; REV-ERBa regulates fission/fusion (Panda 2016),27846497;24159055,mechanistic,2,BMAL1->PGC-1a; clock disruption -> -30-40% mito volume density; REV-ERBa regulates fission/fusion (Panda 2016),Clock disruption: -30-40% mito volume density
C,P,+,S,A,0.200,0.350,0.500,increasing,23076099,mechanistic,2-3x diurnal proteolysis variation; clock-disrupted mice show 2x protein aggregates in 2 weeks (Koike 2012),23076099;21461003,mechanistic,2,2-3x diurnal proteolysis variation; clock-disrupted mice show 2x aggregates in 2 weeks (Koike 2012),2x protein aggregates in 2 weeks with clock disruption
C,N,+,S,A,0.250,0.400,0.550,increasing,20223680,mechanistic,SCN->PVN axis controls cortisol rhythm; SCN degeneration flattens slope; cortisol awakening -30-50% in >70 yr (Nader 2010),20223680;22854555;12490681,mechanistic;RCT,3,SCN->PVN axis controls cortisol; SCN degeneration flattens slope; cortisol awakening -30-50% in >70 yr (Nader 2010),Cortisol awakening response -30-50% in >70 yr
C,F,+,M,B,0.080,0.150,0.250,increasing,26072497,mechanistic,BMAL1 muscle-specific KO: -15-25% fibre CSA by 12 mo; muscle-intrinsic clocks regulate myogenic genes (Chatterjee 2015),26072497;22876722,mechanistic;systematic_review,2,BMAL1 muscle-specific KO: -15-25% fibre CSA by 12 mo; muscle clocks regulate myogenic genes (Chatterjee 2015),BMAL1 KO: -15-25% fibre cross-sectional area
N,I,+,S,A,0.150,0.250,0.400,increasing,21411564,RCT+mechanistic,GC resistance paradoxically increases inflammatory tone; reduced HRV->cholinergic anti-inflammatory pathway deficit (Kumari 2011; Tracey 2002),21411564;12490681;28845751,RCT;mechanistic;prospective_cohort,3,GC resistance increases inflammatory tone; reduced HRV->cholinergic anti-inflammatory deficit (Kumari 2011; Tracey 2002),Vagal nerve stimulation reduces TNF-a ~50%
N,M,+,S,A,0.200,0.350,0.500,increasing,27217074,RCT+mechanistic,Cushing's HOMA-IR 2.5-4.0; +0.3-0.5/10 nmol urinary free cortisol; hepatic gluconeogenesis activation (Pivonello 2017),27217074;10922429;19407167,RCT;mechanistic;prospective,3,Cushing HOMA-IR 2.5-4.0; +0.3-0.5/10 nmol urinary cortisol; hepatic gluconeogenesis (Pivonello 2017),Cushing HOMA-IR 2.5-4.0
N,E,+,W,C,,,,unknown,26553695,in vitro+observational,Cortisol -> methylation in fibroblasts over 51 days in vitro; hair cortisol not associated with clocks (Dresden n=296); cortisol/DHEAS ratio modest (Zannas 2015; Eder 2025),26553695;22854555,in_vitro;observational,2,Cortisol -> methylation in fibroblasts in vitro; hair cortisol not associated with clocks (Zannas 2015; Eder 2025),
N,mito,+,M,B,0.100,0.200,0.300,increasing,29339091,mechanistic,GR-mediated suppression of mito biogenesis genes; increased fission via Drp1 phosphorylation (Picard 2018),29339091;34552265,mechanistic,2,GR-mediated suppression of mito biogenesis; increased fission via Drp1 phosphorylation (Picard 2018),
N,P,+,W,C,,,,unknown,NA,inferred,mTORC1 activation inhibits autophagy; increased ER metabolic demand; no direct cortisol->ubiquitin load evidence,,inferred,0,mTORC1 activation inhibits autophagy; increased ER demand; no direct cortisol->ubiquitin load evidence,
N,C,+,M,B,0.100,0.180,0.300,increasing,20223680,mechanistic,Evening cortisol opposes melatonin-driven entrainment; HPA dysregulation flattens cortisol rhythm; primary direction considered C->N (Nader 2010),20223680;17646381,mechanistic,2,Evening cortisol opposes melatonin entrainment; HPA dysregulation flattens cortisol rhythm (Nader 2010),
N,F,+,M,B,0.100,0.180,0.300,increasing,25942476,prospective,Cortisol->grip: r=-0.35 to -0.50; myostatin/MuRF1/atrogin-1 upregulation; ~1-2 kg/decade excess lean mass loss (Hassan-Smith 2015),25942476;12766768;22876722,prospective;mechanistic;systematic_review,3,Cortisol->grip: r=-0.35 to -0.50; myostatin/MuRF1 upregulation; ~1-2 kg/decade excess loss (Hassan-Smith 2015),Cortisol->grip: r=-0.35 to -0.50
F,I,-,S,A,-0.250,-0.250,-0.200,stable,15542621,RCT+meta-analysis,CRP -20-30%; TNF-a -15-25% in RCT meta-analyses; acute IL-6 from muscle->IL-1RA/IL-10 anti-inflammatory cascade (Petersen 2005; Ogawa 2010),15542621;22648170;22362918;12023167,RCT;meta-analysis;MR;prospective_cohort,4,CRP -20-30%; TNF-a -15-25% in RCT meta-analyses; IL-6 myokine anti-inflammatory cascade (Petersen 2005; Ogawa 2010),CRP -20-30% with regular exercise; TNF-a -15-25%
F,M,-,S,A,-0.350,-0.300,-0.200,decreasing,10484570,RCT+meta-analysis,HOMA-IR -15-30% (HERITAGE); -0.37 SD fasting glucose with structured exercise in T2DM (Bouchard 1999; Colberg 2016),10484570;26994028;22466336;22876722,RCT;meta-analysis;mechanistic,4,HOMA-IR -15-30% (HERITAGE); -0.37 SD fasting glucose with structured exercise (Bouchard 1999; Colberg 2016),Exercise reduces HbA1c ~0.6% in T2D; insulin sensitivity +20-40%
F,E,-,M,B,-0.100,-0.100,-0.080,unknown,NA,RCT,GrimAge -7.44 mo / 6 mo cycling (P=0.012); VO2max <-> GrimAge deceleration r=0.27; adequate sleep/high MVPA -> b=-0.63 (Van Damme 2026),22648170;30569466,RCT;observational,2,GrimAge -7.44 mo / 6 mo cycling (P=0.012); VO2max <-> GrimAge deceleration r=0.27 (Van Damme 2026),GrimAge -7.44 mo per 6 mo cycling intervention
F,mito,-,S,A,-0.300,-0.250,-0.150,decreasing,19448702,RCT+mechanistic,AMPK->PGC-1a->NRF1/TFAM; mtDNA +30-50%; oxidative enzymes +20-40% even in elderly (Hood 2009),19448702;22648170;26994028,RCT;mechanistic,3,AMPK->PGC-1a->NRF1/TFAM; mtDNA +30-50%; oxidative enzymes +20-40% even in elderly (Hood 2009),Exercise: mtDNA +30-50%; oxidative enzymes +20-40%
F,P,-,M,B,-0.150,-0.120,-0.080,decreasing,22236693,RCT,Autophagy +2-3x via AMPK/TFEB; enhanced proteasome activity; basal ubiquitin load reduced (He 2012),22236693;21461003,RCT,2,Autophagy +2-3x via AMPK/TFEB; enhanced proteasome activity; reduced ubiquitin load (He 2012),Exercise-induced autophagy +2-3x
F,C,-,M,B,-0.150,-0.120,-0.080,stable,28747856,RCT,Melatonin amplitude +15-25% in older adults; morning exercise advances circadian phase; re-entrains peripheral clocks (Youngstedt 2016),28747856;22876722,RCT;systematic_review,2,Melatonin amplitude +15-25%; morning exercise advances circadian phase; re-entrains peripheral clocks (Youngstedt 2016),Melatonin amplitude +15-25% with exercise
F,N,-,S,A,-0.250,-0.200,-0.120,decreasing,20548969,RCT+meta-analysis,RMSSD +15-30% with endurance training; cortisol amplitude +25-35% in elderly; improved HPA function (Routledge 2010),20548969;22854555;12490681,RCT;meta-analysis;mechanistic,3,RMSSD +15-30% with endurance training; cortisol amplitude +25-35% in elderly (Routledge 2010),RMSSD +15-30% with endurance training
