axis_from,axis_to,sign,magnitude_tier,confidence_grade,J_value_age30,J_value_age80,primary_evidence_PMID,evidence_type,brief_rationale
E,C,+,W,C,0.002,0.015,23706778,"inferred","Clock gene methylation changes with age; causal direction uncertain"
E,N,+,W,C,0.002,0.015,27304977,"inferred","Epigenetic regulation of HPA axis genes; limited direct evidence"
E,F,+,W,C,0.002,0.015,27304977,"inferred","Epigenetic drift may impair myogenic gene programs; limited evidence"
mito,I,+,S,A,0.010,0.050,23706778,"RCT+mechanistic","Mitochondrial DAMPs (mtDNA, cardiolipin)→NLRP3 inflammasome→IL-1β/IL-18 (Youm 2013)"
mito,M,+,S,A,0.010,0.060,34552265,"review+mechanistic","Mitochondrial dysfunction→impaired oxidative phosphorylation→insulin resistance (Amorim 2022)"
mito,E,+,M,B,0.005,0.025,22911679,"observational","NAD+/NADH ratio affects SIRT1→histone deacetylation→epigenetic drift (Massudi 2012)"
mito,P,+,S,A,0.010,0.040,26122616,"mechanistic","ROS from dysfunctional mitochondria→oxidative protein damage→proteostasis stress (Labbadia 2015)"
mito,C,+,M,B,0.005,0.025,24159055,"mechanistic","NAD+ cycle links mitochondrial oxidative metabolism to circadian clock (Peek 2013)"
mito,N,+,M,B,0.005,0.025,34552265,"mechanistic","Mitochondrial dysfunction in autonomic neurons; bioenergetic failure→reduced HRV"
mito,F,+,S,A,0.010,0.060,34552265,"review+mechanistic","Mitochondrial dysfunction→impaired muscle ATP production→sarcopenia (Amorim 2022)"
P,I,+,S,A,0.010,0.050,24738725,"mechanistic","Misfolded protein aggregates activate NLRP3; senescent cells with proteostasis failure→SASP (van Deursen 2014)"
P,M,+,M,B,0.005,0.025,21461003,"mechanistic","ER stress→insulin resistance via UPR/JNK pathway (Rubinsztein 2011)"
P,E,?,uncertain,C,0.000,0.000,NA,"unknown","Insufficient evidence for direct proteostasis→epigenetic coupling"
P,mito,+,M,B,0.005,0.025,26122616,"mechanistic","Impaired mitophagy (a proteostasis function)→accumulation of dysfunctional mitochondria (Labbadia 2015)"
P,C,0,zero,B,0.000,0.000,NA,"no evidence","No known direct proteostasis→circadian coupling"
P,N,+,M,B,0.005,0.025,26122616,"mechanistic","Protein aggregates in neurons→neuronal dysfunction→autonomic impairment"
P,F,+,M,B,0.005,0.025,26122616,"mechanistic","Proteostasis failure→myofiber degeneration; impaired muscle protein quality control"
C,I,+,S,A,0.010,0.050,17646381,"RCT+mechanistic","Circadian disruption→NF-κB activation; shift work→elevated CRP/IL-6 (Cavadini 2007)"
C,M,+,S,A,0.010,0.060,24360275,"RCT","Circadian misalignment→insulin resistance→metabolic syndrome (Eckel-Mahan 2013)"
C,E,+,W,C,0.002,0.015,24159055,"inferred","Clock-epigenome coupling via NAD+/SIRT1; evidence limited"
C,mito,+,M,B,0.005,0.025,24159055,"mechanistic","Circadian NAD+ oscillation drives mitochondrial oxidative metabolism (Peek 2013)"
C,P,+,W,C,0.002,0.015,21461003,"inferred","Circadian regulation of autophagy; evidence sparse"
C,N,+,S,A,0.010,0.050,22854555,"RCT+mechanistic","Circadian disruption→cortisol rhythm flattening→reduced vagal tone (Pavlov 2012)"
C,F,+,M,B,0.005,0.025,22854555,"observational","Sleep disruption→impaired muscle recovery; circadian misalignment→reduced physical performance"
N,I,+,S,A,0.010,0.050,22854555,"RCT+mechanistic","Reduced vagal tone→loss of cholinergic anti-inflammatory pathway→elevated TNF-α (Pavlov 2012)"
N,M,+,S,A,0.010,0.060,12766768,"prospective","Autonomic dysfunction→impaired glucose regulation; cortisol excess→insulin resistance (Vinik 2003)"
N,E,+,M,B,0.005,0.025,22854555,"observational","HPA axis dysregulation→glucocorticoid-driven methylation changes"
N,mito,+,M,B,0.005,0.025,22854555,"mechanistic","Cortisol excess→mitochondrial dysfunction via GR-mediated suppression of PGC-1α"
N,P,+,W,C,0.002,0.015,22854555,"inferred","Stress hormones may impair proteostasis; limited evidence"
N,C,+,S,A,0.010,0.050,22854555,"RCT+mechanistic","HPA axis dysregulation→cortisol rhythm flattening→circadian disruption (Pavlov 2012)"
N,F,+,S,A,0.010,0.060,22854555,"prospective","Autonomic dysfunction→impaired neuromuscular function; cortisol excess→muscle catabolism"
F,I,-,S,A,-0.040,-0.015,22648170,"RCT+MR","Exercise→IL-6 from muscle→IL-1ra/IL-10→anti-inflammatory; reduces baseline CRP/TNF-α (Pedersen 2012)"
F,M,-,S,A,-0.060,-0.020,19407167,"RCT+mechanistic","AMPK activation→insulin-independent GLUT4→glucose uptake; skeletal muscle primary disposal site (DeFronzo 2009)"
F,E,-,M,B,-0.020,-0.008,22648170,"RCT","Exercise reduces epigenetic age acceleration; AMPK/SIRT1 activation→histone remodeling"
F,mito,-,S,A,-0.040,-0.015,22648170,"RCT+mechanistic","Exercise→PGC-1α via AMPK/p38→mitochondrial biogenesis, improved mitophagy (Pedersen 2012)"
F,P,-,M,B,-0.020,-0.008,21461003,"RCT","Exercise-induced autophagy; mechanical loading→enhanced protein quality control"
F,C,-,M,B,-0.020,-0.008,22648170,"RCT","Exercise→circadian entrainment; light exposure + physical activity reinforce SCN rhythms"
F,N,-,S,A,-0.040,-0.015,22854555,"RCT+mechanistic","Exercise→enhanced vagal tone; regular activity→increased RMSSD/HRV (Pavlov 2012)"
