axis_from,axis_to,sign,magnitude_tier,confidence_grade,J_healthy,J_pre_disease,J_disease,age_trajectory,pmid_primary,pmid_secondary,evidence_type,mechanism_brief,biomarker_role_note
P,E,+,W,C,qual_only,qual_only,qual_only,unknown,torresarciga2022histone,,theoretical,Histone chaperone dysfunction; impaired nucleosome remodelling from proteostatic overload,
C,E,+,W,C,qual_only,qual_only,qual_only,unknown,masri2015circadian,,theoretical,Circadian gating of DNMT activity; clock-epigenome coupling via SIRT1-NAD+ axis,
N,E,+,W,C,qual_only,qual_only,qual_only,unknown,watkeys2018glucocorticoid,,theoretical,Glucocorticoid-induced epigenetic changes at NR3C1; stress-mediated DNMT upregulation,
F,E,-,M,B,-0.12,-0.1,-0.08,stable,quach2017lifestyle,,cohort+epigenetic,Exercise associated with 3-5 yr lower epigenetic age; AMPK-mediated DNMT modulation,
B,E,?,unknown,C,unknown,unknown,unknown,unknown,,,unknown,No established mechanism for bone-axis regulation of epigenetic maintenance,
I,mito,+,M,B,0.12,0.18,0.25,increasing,lopez2006tnf,mengel2014mtdna,cell+cohort,TNF-a suppresses Complex I; PGC-1a inhibition; mtDNA release,mtDNA copy number=observationProxy
M,mito,+,S,A,0.15,0.22,0.35,increasing,robertson2004glucose,fetterman2016mitochondrial,cell+cohort,Glucotoxicity reduces membrane potential; lipotoxic cardiolipin damage; NAD+ depletion,NAD+/NADH=regulatorySignal
E,mito,+,W,C,qual_only,qual_only,qual_only,unknown,ruizandres2016inflammation,,theoretical,Epigenetic silencing of PGC-1a promoter; histone modifications at ETC gene loci,
P,mito,+,M,B,0.08,0.12,0.18,increasing,pickles2018mitophagy,,cell+review,Misfolded protein aggregates on OMM impair import; mitophagy flux depends on UPS clearance of ubiquitinated substrates,
C,mito,+,W,C,qual_only,qual_only,qual_only,unknown,imai2014nad,,theoretical,NAD+ oscillation disruption; circadian gating of mitophagy; PGC-1a rhythmicity loss,
N,mito,+,W,C,qual_only,qual_only,qual_only,unknown,martin2023cachexia,,theoretical,Cortisol excess impairs PGC-1a; HPA-mediated redox imbalance,
F,mito,-,M,A,-0.15,-0.12,-0.1,stable,hood2019exercise,,meta-analysis+intervention,PGC-1a induction; mitochondrial biogenesis; ETC Complex assembly; NAD+ salvage pathway activation,
B,mito,?,unknown,C,unknown,unknown,unknown,unknown,,,unknown,No established mechanism for bone-axis regulation of mitochondrial bioenergetics,
I,P,+,M,B,0.08,0.12,0.2,increasing,ferrington2012proteasome,,cell,Oxidative proteasome damage; NF-kB ubiquitin conjugation; ER stress,
M,P,+,M,B,qual_only,qual_only,0.15,increasing,queisser2010hyperglycemia,singh2025chaperone,cell,Methylglyoxal-proteasome inhibition; glycated HSP dysfunction; mTOR autophagy suppression,
E,P,+,W,C,qual_only,qual_only,qual_only,unknown,garciaprat2016autophagy,,theoretical,Epigenetic downregulation of HSP70/autophagy genes; HDAC-mediated proteasome subunit silencing,
mito,P,+,S,A,0.2,0.28,0.4,increasing,kastle2011proteasome,,cell+cohort,ROS-driven protein carbonylation overwhelms proteasome; mitochondrial UPR cross-talk; PINK1/Parkin,
C,P,+,W,C,qual_only,qual_only,qual_only,unknown,juste2021chronophagy,,theoretical,Circadian regulation of autophagy flux; disrupted PER/CRY proteasomal cycling,
N,P,+,W,C,qual_only,qual_only,qual_only,unknown,silva2018stress,,theoretical,Glucocorticoid effects on autophagy regulation; stress-granule formation,
F,P,-,W,B,qual_only,qual_only,qual_only,stable,dokladny2015hspautophagy,,cell+review,Exercise-induced autophagy (AMPK-ULK1); HSP induction; proteasome activation,
B,P,?,unknown,C,unknown,unknown,unknown,unknown,,,unknown,No established mechanism for bone-axis regulation of proteostatic clearance,
I,C,+,M,B,0.1,0.15,0.22,increasing,vgontzas2005il6,cutolo2005circadian,intervention+cohort,IL-6 shifts cortisol phase; NF-kB E-box binding; pineal suppression,DLMO=regulatorySignal; cortisol slope=observationProxy
M,C,+,M,B,0.08,0.12,0.18,increasing,stenvers2019circadian,,cohort+review,Hyperglycaemia dampens BMAL1 amplitude; insulin resistance desynchronises peripheral clocks,
E,C,+,W,C,qual_only,qual_only,qual_only,unknown,cronin2016bmal1,,theoretical,Promoter methylation of CLOCK/BMAL1; age-related epigenetic dampening of TTFL amplitude,
mito,C,+,W,C,qual_only,qual_only,qual_only,unknown,levine2020nad,,theoretical,NAD+ depletion impairs SIRT1-mediated BMAL1 deacetylation; redox-clock coupling,
P,C,+,W,C,qual_only,qual_only,qual_only,unknown,vriend2014proteasome,,theoretical,Proteasomal degradation of clock proteins (PER/CRY turnover); impaired BMAL1 cycling,
N,C,+,S,A,0.2,0.28,0.38,increasing,knezevic2023cortisol,,meta-analysis+cohort,HPA dysregulation shifts cortisol phase; CRH effects on SCN pacemaker; cortisol flattening,
F,C,-,M,B,-0.12,-0.1,-0.08,stable,hower2018exercisecircadian,,cohort,Timed exercise entrains peripheral clocks; bright-light outdoor activity reinforces SCN; improved sleep architecture,
B,C,?,unknown,C,unknown,unknown,unknown,unknown,,,unknown,No established mechanism for bone-axis regulation of circadian oscillator,
I,N,+,M,B,0.12,0.18,0.25,increasing,pace2007cytokines,jarczok2014hrv,cohort,Cytokine BBB crossing; CRH stimulation; vagal tone impairment,RMSSD=regulatorySignal; cortisol AUC=observationProxy
M,N,+,M,A,0.18,0.25,0.35,increasing,vinik2003dan,carnethon2003hrv,cohort+clinical,Diabetic autonomic neuropathy; glucose variability impairs baroreflex; AGE damage to vagal fibres,RMSSD=regulatorySignal
E,N,+,W,C,qual_only,qual_only,qual_only,unknown,watkeys2018glucocorticoid,,theoretical,Epigenetic modification of GR promoter (NR3C1); stress-induced methylation of HPA feedback genes,
mito,N,+,W,C,qual_only,qual_only,qual_only,unknown,,,theoretical,Bioenergetic failure in SCN neurons; ATP depletion in vagal nuclei,
P,N,+,W,C,qual_only,qual_only,qual_only,unknown,borghammer2019braingut,,theoretical,Protein aggregation in autonomic ganglia; alpha-synuclein in vagal dorsal motor nucleus,
C,N,+,S,A,0.25,0.32,0.42,increasing,sagmeister2023cortisol,,meta-analysis+cohort,SCN-HPA axis: circadian disruption flattens cortisol; phase advance reduces vagal tone,
F,N,-,M,B,-0.18,-0.15,-0.12,stable,besnier2017exerciseautonomic,,cohort+intervention,Exercise increases vagal tone (RMSSD +15-25%); normalises HPA feedback; cardiorespiratory fitness-HRV coupling,
B,N,-,W,C,qual_only,qual_only,qual_only,unknown,obri2018osteocalcinbrain,,cell+review,Osteocalcin crosses BBB; modulates hippocampal BDNF; possible parasympathetic effects via GPRC6A,
I,F,+,S,A,0.25,0.35,0.5,increasing,schaap2006inflammation,liang2026sarcopenia,meta-analysis+cell,IL-6/TNF-a activate NF-kB/FOXO catabolism; satellite cell suppression; NMJ damage,Grip strength=observationProxy
M,F,+,M,A,0.15,0.22,0.3,increasing,wong2022diabetes,rasmussen2006insulin,cohort+intervention,Insulin resistance impairs mTORC1-MPS; hyperglycaemia promotes FOXO catabolism,Grip strength=observationProxy
E,F,+,W,B,0.06,0.08,0.12,increasing,fielding2025epic,,cohort+epigenetic,DunedinPACE predicts grip strength decline; epigenetic silencing of satellite cell markers,
mito,F,+,M,A,0.12,0.18,0.25,increasing,tarnopolsky2014mito,,intervention+cohort,Mitochondrial myopathy; ETC Complex deficiency reduces MPS capacity; exercise-mito-muscle axis,VO2max=observationProxy
P,F,+,M,B,0.08,0.12,0.18,increasing,askanas2015ibmproteostasis,,cohort+cell,Inclusion body myositis; protein aggregate toxicity in myofibres; impaired MuSC proteostasis,
C,F,+,M,B,0.08,0.12,0.18,increasing,su2025chronoexercise,,cohort,Circadian desynchrony impairs MPS timing; shift workers show accelerated strength decline,
N,F,+,M,B,0.1,0.15,0.22,increasing,schakman2008gcmyopathy,,cohort+clinical,GC myopathy (type II fibre atrophy); HPA activation promotes catabolism via FOXO,
B,F,+,M,B,0.08,0.12,0.2,increasing,kirk2020osteosarcopenia,,cohort+clinical,"Osteosarcopenia: bone loss reduces mechanical scaffold; osteokines (osteocalcin, sclerostin) signal to muscle",
I,B,+,M,B,0.1,0.15,0.25,increasing,redlich2012bone,siu2013bone,meta-analysis+MR,TNF-a/IL-1b upregulate RANKL; anti-TNF improves BMD; inflammatory osteoclastogenesis,DXA T-score=observationProxy; OPG/RANKL=regulatorySignal
M,B,+,M,B,0.08,0.12,0.2,increasing,napoli2017mechanisms,vestergaard2007diabetes,cohort+review,AGE accumulation impairs bone quality; insulin resistance reduces osteoblast function; T2DM fracture paradox,DXA T-score=observationProxy; P1NP=regulatorySignal
E,B,+,W,C,qual_only,qual_only,qual_only,unknown,zhu2024osteoblast,,theoretical,Epigenetic regulation of RUNX2/Osterix osteoblast differentiation; Wnt pathway methylation,
mito,B,+,W,C,qual_only,qual_only,qual_only,unknown,sabini2023oxphos,,theoretical,Osteoblast differentiation requires oxidative phosphorylation; bioenergetic deficit may impair bone formation,
P,B,+,W,C,qual_only,qual_only,qual_only,unknown,vriend2015ubiquitin,,theoretical,Proteasome role in osteoblast differentiation unclear; possible Wnt pathway modulation,
C,B,+,W,C,qual_only,qual_only,qual_only,unknown,luo2021circadian,,theoretical,Circadian regulation of osteoblast activity; BMAL1 in bone formation timing,
N,B,+,S,A,0.15,0.25,0.45,increasing,canalis2007glucocorticoid,compston2018gio,meta-analysis+RCT,"GIO: GCs suppress osteoblast Wnt signalling, upregulate RANKL, induce osteocyte apoptosis; bisphosphonate/teriparatide RCTs",DXA T-score=observationProxy; P1NP/bCTX=regulatorySignal
F,B,-,S,A,-0.3,-0.25,-0.18,stable,howe2011exercise,kirk2020osteosarcopenia,meta-analysis+RCT,Mechanical loading activates osteocyte Wnt/b-catenin; Wolff law; resistance exercise increases BMD 1-3%,DXA T-score=observationProxy
